,Title,email,KeyWords,Abstract,domain
34,Learning by Doing - Energy Systems Management ,,,"Energy underpins all social and economic activities in any nation. Revolution of energy technologies in increasing efficiency and diversity of recourses, as well as climate change concerns has confronted policy makers by unprecedented challenges. Making decision on the right mixture of energy resources and investments on emerging technologies is becoming a more critical issue, which requires a systems thinking approach towards these problems. On the other hand, there is a considerable lack in educational system, offering a comprehensive approach toward current 21st century energy challenges. In order to fulfill those needs, an interdisciplinary graduate certificate course work was designed at Old Dominion University. Considering, the interdisciplinary nature of energy issues, this graduate course work covers from cradle to grave of energy systems, including production options, distribution technologies, and consumption environmental consequences. This course is designed to provide a big picture of energy issues covering from policy level debates, new revolutionary technologies such as smart grids and fracking, as well as decision making tools. By adopting learning by doing concept, we introduce students with two current software for analyzing feasibility of energy projects and due to common hands on approach in our engineering school, we asked students to design and assess energy projects using the tools. Last year, we presented the concept of this course at ASEM conference, this year we are interested to provide the results of our learning by doing approach, discussing on four cases in solar energy, wind energy, hydro power, and geothermal energy.",
35,An Online Scheduling Mechanism for Vehicle-to-Grid Operation ,,,"A major issue associated with large scale adoption of plug-in electric vehicles is the potential impact that charging these vehicles will have on the power grid. If charging of plug-in electric vehicles is not managed, there could be negative impacts on the grid. In a vehicle-to-grid system, charging and discharging of plug-in electric vehicles can be controlled to avoid worsening peak loads and to provide other beneficial services to the grid. It is also important to consider the needs of customers in system because if they are repeatedly unsatisfied with the service provided by the aggregator, they may not participate at all. This paper develops an algorithm to optimally schedule plug-in electric vehicles in a vehicle-to-grid parking lot. Scheduling is carried out over a planning horizon in which plug-in electric vehicle requests arrive dynamically. This study is a step towards developing a mathematical model that schedules the centralized charging and discharging of plug-in electric vehicles while taking into account preferences of customers. Results of this study can be used for management and planning purposes for future vehicle-to-grid systems particularly in applications where fully centralized control is needed for system operation.",
36,A Meta-heuristic Approach to Locate Optimal Switch Locations in Cellular Mobile Networks ,,,"With increasing usage of cellular phones, providing optimum communication service systems becomes a strategic decision to increase subscriber satisfaction. In order to respond to this growing demand it is essential to have a proper design of mobile networks by optimally locating facilities such as Base Transceiver Stations (BTS), switches, etc. In this study, a kind of honeybee-inspired algorithm called Artificial Bee Colony (ABC) algorithm is utilized to solve the problem of assigning cells to switches in the Personal Communication Services (PCS) networks. The model is mathematically developed as a binary non-linear problem with the objective of minimizing cost, which includes handoff and cabling costs. Each switch has a call handling capacity that is equal for other switches. The cells locations are known, and each cell can only be connected to one switch which makes the binary non-linear model of our problem as a single homed model. This problem is categorized as a Capacitated P-Median Problem (CPMP). It has been proven in the literature that these types of problems are Non-deterministic Polynomial-time hard (NP-hard) which need meta-heuristic algorithms to be solved. At first, various parameters of the ABC algorithm are calibrated by conducting full factorial experimental design. Numerical examples are generated in order to evaluate the performance of the ABC algorithm by comparing it with Ant Colony Optimization (ACO) in terms of objective function and CPU time. Comparison results show satisfactory performance of ABC algorithm.",
37,An analysis of the potential isomorphic elements between military reconstruction operations and emergency management recovery phase ,,,"With a number of national and international military operations over the last decade, the need for reconstruction in the conflict-affected areas becomes apparent. Reconstruction operations executed by the military involve tasks like trust building with community leaders, construction or reconstruction of critical infrastructure and buildings, and supply of electricity, water, and heat. Food delivery, schools, roads, and healthcare facilities have the highest priority. Once the reconstruction effort is stabilized with high priority needs being addressed, additional community-building is requisite. In humanitarian missions, the local population may need education on trade skills and fundamentals of societal organization. Emergency management, in non-military situations, deals with manmade and natural disasters and tries to avoid, control, manage, and eliminate, as far as possible, the inherent losses that result from major disasters. The four phases of emergency management are mitigation, preparedness, response, and recovery. Within the recovery phase, emergency responders must deal with damage assessment, cleanup operations, and basic reconstruction. The focal points during reconstruction are on critical systems and facilities like healthcare, schools, and roads. Furthermore, the provision for temporary basic needs is crucial. This article explores which elements of the emergency management recovery phase and military reconstruction operations are potentially isomorphic and which elements do not exhibit isomorphic behavior. A conventional product life cycle is transferred to an operation life cycle to divide both operations into segments. This analysis leads to a deeper systemic understanding of the recovery phase in emergency management and assists technical managers tasked with these responsibilities.",
38,Analysis of the Critical Characteristics in Modeling the Economics of Blast Fragment Dispersion of Hazardous Materials ,,,"The significance of a thorough understanding and analysis of hazards and threats in an industrial operation cannot be overstated, but equally important is the development of potential accident scenarios and the calculation of the probable costs of failure of all safety barriers and controls.  Operations having high consequences of failures at any step should be managed as a High Reliability Organization (HRO).  Published characteristics of an HRO state that the organization performing highly hazardous operations must embrace two critical requirements; 1) stochastic analysis of hazards and threats, and 2) accident scenario development with economic consequence calculations.  It is difficult and costly to perform the second requirement in order to accurately forecast cost impacts of a catastrophic accident.  Due to the cost of this requirement, organizations are not always able to commit the resources necessary to do the work.  This paper presents a preliminary analysis under development of the critical characteristics involved in modeling the economics of blast fragmented dispersion of hazardous materials.  A general methodology called HTAC (Hazards-Threats-Accidents-Consequences) Analysis, which utilizes several tools is presented as a model for cost estimation of barriers, controls, accidents and consequences.  The model is able to determine accurately the consequences and associated costs of a catastrophic accident for justifying the costs of barriers and controls.",
39,Cybersociophysical Systems: A New Human Factors Approach ,,,"Even though many innovations related to Cybersociophysical Systems (CSPS) already exist, its significance is only now being recognized. Researchers have not always viewed Cyberphysical Systems (CPS) as having a social component. The socio component has a greater importance and scope than one can imagine. This paper proposes that cyberphysical systems can be improved to be more valid for social dynamics and interactions occurring during design and after release. Humans are at both ends of the system, as both designers and users. The importance of humans in context, the role of humans in all stages of development of a system, and the human factors to be considered before and during the development stages of a system, and these are presented as key to the development of effective CSPS. However, engineering management activities must account for the demands on designers and users when planning the development of such complex systems. To facilitate effective development, an iterative life cycle is discussed, with explanations of ways to proceed with the development and management of a system.",
40,A Proposed Conceptual Model to Analyze Team Congruence at a Large Manufacturing Operation ,,,"Large manufacturers progressively implementing lean across their organization must establish a balanced pull system. Implementing lean across an organization takes time, over which individuals and teams will go through training to understand lean and its application to their work. Looking at an organization as a system it is important to understand the role each team plays in the work of other teams. Lean implementations in one area has the potential to disrupt production in another. Establishing a balanced pull system requires understanding the current state of the organization, the motivation from each team (their weltanschauung), the interconnectedness of individual teams, and what can be done to limit disruption to the final production schedule while progressing with lean implementation. We propose an approach to identifying the current state and motivations that exist in each team of the organization, the first portion of creating a balanced pull system. Step one is a preliminary survey that provides a basic understanding of the current state that exists for each team in the organization, and their basic motivations. Step two involves application of interviews with unique protocols based on their progression through the lean implementation. The interviews provide a more complete understanding of the current state in each teams areas and the weltanschauung of each team as a whole. Engineering managers reading this paper can benefit by realizing the importance of looking at their organization and lean implementation efforts as a system.",
41,Survey of Internet of Things for Quality Assurance of an Engineering Design Firm,,,"This presentation investigates the recent development of Internet of Things (IOT) for tracking the quality after engineering design processes.  The IOT technology could reduce cost of quality in the entire process.  The cost of quality for an engineering design firm has been calculated.  It found 5% for the investment in the prevention phase may reduce the total cost of the quality.  However, if the application of IOT technology and the integration of the information system for the entire process may efficiently approach an even more high quality of the entire system.",
42,Surprises and Cost Overrun: A Lean Risk Management Approach to Reduce Surprises and Address Cost Overruns In Aerospace Product Development Projects ,,,"Cost Overrun continues to burden aerospace product development projects, and its contributing factors need to be better understood.  In line with this effort this paper explores, through multiple case studies within a major aerospace firm, the relationship between the engineering risk management performance and product development projects scope changes driving Cost Overrun, as it evolves over time.  Our research provides fresh and novel empirical evidence about of the ability of an ISO31000 based technical risk management process and organization to uncover uncertainty early in PD projects.  A novel lean risk management performance metric entitled Surprises is developed, together with a systematic method for data mining technical expressions of uncertainty.  We postulate that a reduction of Surprises could help reduce project Cost Overrun.  This lean approach to risk management provides for the early detection of new and emerging risks associated labelled as Surprises, leading to scope changes and Cost Overrun, over the entire product development project lifespan.  Our analysis shows that there is a positive correlation between the extent of the independent Surprise metric and the PD project Cost Overrun response.  This paper explores how the use of a novel lean risk management method supplements conventional ISO31000 based processes, and can be used to improve the value of the risk assessment process through reduced Surprises, effort required and lead time, to ultimately address the major concern about aerospace product development Cost Overrun.",
43,"System Dynamics Model of Project Dynamics in the Electricity industry in Sub Saharan Africa: Model Credibility Testing, Evaluation and Validation ",,,"In Africa, major projects are presently in progress to upgrade the infrastructure in the energy sector, and especially in the electricity energy sub sector. Many such projects have run into delays, quality problems and cost overruns. The hypothesis points to the many risks and uncertainties that exist in projects of this nature in the energy sector in Kenya and the Sub Saharan Africa region. In this paper, we introduce a system dynamics model of the project dynamics in the electricity energy sector in Kenya developed using the system dynamics approach. The paper outlines the tests and results carried out on the basic simulation model to check for right behavior for the right reasons, and behavior pattern tests done by comparing the simulated model behavior to the behavior from previous similar projects in the industry. Finally, sensitivity analysis, the study of model responses to model changes, is done to test the effects of uncertainties in parameter values on the model outcome so as to direct further work on the parameters and structure that signi?cantly affect the behavior, with the aim of generating insights about the structure, behaviors and the real world. The results of the testing are used to improve the initial basic model.",
44,Quality in Project Management: Do we have the right paradigm? ,,,"Quality in Project Management: Do we have the right paradigm? An inspection of the Project Quality Management knowledge area within the Project Management Body of Knowledge suggests significant influence from the foundational thought leaders within quality management.  Strong emphasis is given within this knowledge area to the Seven tools of quality management as pioneered and promoted by figures such as Deming and Kaoru Ishikawa. It is observed however that this important toolset has its origins in high volume manufacturing. Further, the applicability of many of these tools outside of the context of an ongoing operation would appear to be limited in many cases. Given that projects are unique, complex, and defined as temporary endeavors, it raises questions regarding how quality within the context of project management should be managed. As an example, to what degree does statistical process control have a role to play in the development and delivery of complex, one-off systems? This paper systematically compares and contrasts quality management in projects and ongoing operations, and provides recommendations for a new project quality management framework from the literature of project as well as quality management.",
45,Introducing Bio-based Additive Manufacturing to an Engineering Facility ,,,"Innovative product development and manufacturing technologies are vital to a robust economy.  Recent national emphases on STEM disciplines and breakthrough research in these areas underscores the importance of innovation and disruptive technologies to increased economic activity effects.  One of the hot areas of emerging technology applications in industry is that of additive manufacturing (AM). While the AM process may produce parts from both metallic inputs and polymer resins, this effort focuses on the polymer area and specifically bio-based polymers. The research examines process and technology aspects which may impact performance and capabilities.  In order to evaluate the feasibility of incorporating bio-based AM into an engineering setting, the Plastics Laboratory of Northern Illinois University has conducted a study. The required steps were the purchase of a 3D printer, installation and trouble-shooting of the printer, creation of sample parts, generation of test coupons for mechanical testing, and testing per ASTM specifications. This programs effectiveness is judged by the ease at which the AM technology is made operational as well as the properties of resulting parts. Properties include appearance, durability, and strength. The property evaluation is especially important as quality is dependent on how the part is oriented during the build, along with other factors, and strength is lower when compared to parts made by traditional plastics processing methods. For success, the printer must be relatively easy to install and operate, and parts must have a minimum amount of strength.  ",
46,Business Applications of the Integrated Management Model ,,,"The Integrated Management Model (IMM) is shown on page 14 in the third edition of the Guide to the Engineering Management Body of Knowledge (EMBOK).  The first version of the model appeared in the publication Engineering Management International in 1982 (Westbrook).  A more complete version, was published (Westbrook, 2011) and appears as shown in the EMBOK.   The IMM was developed to show the interrelationships between management elements and the organizational internal and external environments.  The primary message of the model is to demonstrate that management should not focus on any one element to manage an organization.  There exists a tendency to look at one element to improve organizational performance; for example  reorganize the structure, adopt the latest management fad or focus on keeping key employees happy.  The model suggests that management must take all three elements, people,  structure and management systems) into account while having a thorough understanding of its internal and external environments.  The IMM proposes to integrate the concepts shown in Domains 2 and 3 of the EMBOK as a way to manage more effectively or implement improvements.  The paper presents an explanation of the elements of the IMM as well as descriptions of the organizational internal and external environments.  Applications of the model are shown in two different types of organizations.  One organization is an engineering organization that supports a military research and development mission.  The other organization is a small carbon fiber research organization.  The applications of the model are quite different and are intended to",
47,When a Business Gets Itself into a Pickle: Sources of Value from Cucumber Process Co-Products,,,"The food processing industry, like other production-oriented segments, is becoming more focused on good stewardship of the resources used in and around its production processes.  Some of this is encouraged through federal and state policies; additionally, many operations are held accountable on these metrics by measures derived at a local or organizational level.  Some corporations have begun to incentivize regional business units and production facilities to do a better job of creating value from resources and inputs.  One way of measuring this is to decrease the amount of products leaving a facility not in a value-added state.  This research looks at one such opportunity, namely the processing co-product from a pickle production facility.  The research follows a process in order to identify and examine a range of new use options for building economic value through the conversion of such production scrap into a higher value product.",
48,Productivity Improvement of Production Floor Line Balancing: A Case Study at a Manufacturing Company ,,,"The manufacturing of medical devices involves a complex network of interactions and material flows. These complex interactions are very likely to lead to wastes and overlaps in the processes, thereby adding cost and inefficiency in the overall manufacturing process. This paper presents a case study of a biomedical manufacturing focusing on productivity improvement. The Six-Sigma DMAIC approach is used to identify wastes and improve the processes. Initially, several time studies are conducted to measure the work content of the selected assembly line by including any personal allowances and unavoidable delays. The productivity analysis is then performed by preparing the balance sheets that visually map work content in order to create continuous flow, meet customer demands and identify improvement opportunities. Furthermore, our findings suggest that sustaining a culture of Lean or continuous improvement can be difficult after the enthusiasm of the transformation fades. Therefore, in order to sustain the real productivity gains the process improvement, an organization has to ensure come that it becomes everybody's job to find opportunities for improvement rather than the domain of a specialized few.",
49,An analysis of the potential of companys inter-cooperation on shop-floor level through the utilization of cyber physical production systems ,,,"In recent years, the advances in automation of production has increased significantly. The expansion of intelligent objects (defined as: technical systems with substantial software components) is predicted to continue over the coming years. One possible outcome with regards to this development is the interconnection between embedded systems and cyber physical production systems (CPPS). In this scenario there is recognition of an even higher degree of complex automation and peripheral distributed controlling intelligence. As such, great potential exists for the enhancement of the present efficiency of production systems. One outcome for the previously described development is an improvement in cooperation along the value-adding network - commonly referred to as supply network.  The use of cyber physical production systems is a solutions-based approach to stimulate the cooperation of various enterprises on the shop-floor level. This article seeks to investigate and analyze this possible development. First, the traditional cooperation between enterprises regarding their supply network management is described. Afterwards, a possible practical application of the CPPS approach on the shop-floor level for a company is illustrated. To conclude, the differences between the traditional and the CPPS approaches are explained. Key points within this article are intelligent machines, intelligent products, and their connection to one other across a companys previous boundaries - enabled by the shop floors integration in the internet of things.",
50,A Life Cycle Analysis Approach for Making Sustainable Fiber Optic Purchasing Decisions in the Telecommunication Industry ,,,"In recent decades, substantial research has surfaced that links global climate change with the human element. As the human species has evolved, the industrialization of prosperous nations has produced extreme consequences on our environment. Continual degradation of our surroundings has proven detrimental to our future. With this in mind, many companies are making progressive steps to become environmentally friendly; even telecom providers are researching ways that they might optimize their network grids in order to achieve greater efficiencies and reduce waste. Although this emergence of green thinking is beneficial to our environment, many of these thoughts are coming after potentially dangerous products have already been placed on the open market. Recently, a form of analysis has been developed that details the exact environmental footprint of any process, product or material. Life Cycle Analysis (LCA) is globally recognized as the leading technique to evaluate the sustainability of a product or service. This cradle-to-grave software evaluates the impacts of products or materials from the extraction of their raw materials to their eventual disposal. With this information in hand, companies can begin making sound decisions toward the development and production of an eco-friendly product, all while realizing potential cost-cutting opportunities through the use of alternative materials.  This paper aims to revise and redirect the current purchasing habits of a major telecom provider by using Analytical Hierarchy Process (AHP) in conjunction with LCA of the synthetic material used in the exterior jacketing of fiber optic cables, thus creating a much more sustainable decision process.",
51,System Dynamics Analysis of Factors Impacting on Command and Control Technology Acceptance for Anti-Poaching Operations ,,,"Introducing a new technology into a complex sociotechnical system will have planned as well as unplanned impact. Often people in the system employ the technology differently than intended. Dynamic interaction between the technology, people and environment may also result in counter intuitive systemic effects. Modelling of the system and the new technology can help to understand the requirements for successful implementation of the technology. This paper demonstrates a modelling methodology that combines two modelling frameworks, Cognitive Work Analysis and System Dynamics, to model the effect of a new technology on complex sociotechnical system. Cognitive Work Analysis helps to convert available information on the system and the application of technology into constructs. The System Dynamics method analyses the causal relationships between the variables in the system. The aim of the modelling framework is to address the complex sociotechnical and dynamic effects between a new technology, people in the system and operational environment. The modelling methodology is demonstrated through modelling and simulation of the effect of web based and smartphone technology on an anti-poaching Command and Control system. Systems Dynamics simulations are used to assess the impact of different factors on system effectiveness. The constructs, model artefacts and simulation results of the methodology provided insight into the impact of the new technology to derive system requirements. This will assist in planning change management for its successful implementation.",
52,"Application of Systems Models in Strategic, and Risk Management Contexts",,,"This paper proposes a system models in context such as enterprise and strategic risk management and marketing. Engineering managers often feel confined to technical areas of management, unable to exert influence in the general management. At the same time, management itself has been a nebulous profession with significant hand waving. By judiciously employing system models, both at conceptual and detailed levels, this paper proposes a solution to both understanding the organizational, contextual and human behavioural factors in a transparent manner. The application of systems dynamic and agent based models in strategic planning and strategic risk and marketing are discussed. The systems models can be used as an organizing principle, framework and simulation test bed. Such model building is both transdisciplinary and integrative, and uses a variety of concepts, such as flows, stocks, influencing factors, feedback loops, delays and agents, which are well-suited for increasingly complex risk environments. Systems models allow the integration of elements across multiple dimensions, namely (a) spatial: connecting entities in space (e.g. flows), (b) domain concepts: based on the domain relationships, (c) temporal: when the models are developed into simulation models, they allow for one to step through time, and (d) social: bringing different perspectives together.",
53,A Dynamic Model of Job Satisfaction and Turnover: Framework for Model Development and Simulation ,,,"Employee retention has become an increasing focus in engineering management, as corporations have begun to recognize the value of people as individuals, as well as the value of their cumulative knowledge and skills. Although a substantial amount of study and investment has been done in order to measure and predict the causes of voluntary employee turnover, there still remains a high variability in predicting patterns of workforce behavior across various industries. For example, some companies have found the existence of amenities such as gyms or internet cafes tend to increase job satisfaction; however, the effects can be short term and the next hired generation might not find the amenities provided as attractive. Hence, the ability to maintain and encourage employee loyalty is rooted in the understanding of the complex system of factors that affect their decisions. The ability to capture these factors and their behaviors will be critical to future development of engineering management approaches in support of employee retention. Visual representations of changes over time can be especially valuable to decision makers. The objective of this study is to develop a robust dynamic model that can represent and anticipate changes in employee job satisfaction through the use of system dynamics methods. With the use of statistical analysis and system dynamics, statistically significant parameters can be selected and then varied to observe their effects on the behaviors of the main variables. Conclusions are drawn to provide decision support to management toward the goal of employee retention.",
54,Determinants of Collaborative Relationship and Its Impact on Collaboration Value Creation in the Integrated Project Team ,,,"In the integrated project team, collaborative relationship is not without risk, though it is in an increasing need to be regarded as a productive resource for value creation. This study investigates two main issues: firstly, what are the main determinants of the collaborative relationship among the integrated project team members and, secondly, how it affects collaboration value creation. We propose hypotheses of the study based on extensive literature review. With data collected from a structured online questionnaire that was sent to members of integrated project teams, these hypotheses are then tested by structural equation modeling. The results indicate that trust and organization control are the main determinants of collaborative relationship. Furthermore, the more tense the collaborative relationship is, the more obstacles collaboration value creation encounters in the integrated project team. The findings of this study can significantly help collaborative relationship management and enhance collaboration value creation in the integrated project team.",
55,Overcoming the Innovation Execution Gap: A Process for Enhancing the Success of Company Innovation Initiatives ,,,"For most companies successful innovation is an execution problem, not an ideation problem. Through existing tools and processes companies are increasingly trying to answer externally-focused innovation questions such as, Why do customers engage with our company? and How can we provide additional value to current and potential customers? Equally important, but seldom the focus of project leaders, are internal questions such as, Why is our company pursuing an innovation initiative? Furthermore, when companies identify and actively pursue an innovation project, they often fail to fully assess and evaluate both the needs of the innovation project and the current capabilities of their organization. This failure to adequately assess and evaluate often results in unanticipated execution challenges for engineering managers. Example challenges include determining ways to implement the innovation project within the context of the existing performance engine, hiring or developing specialized expertise, and leading multifunctional teams having different goals and structures. Combining both theoretical and practical engineering management knowledge, this paper describes a process that supports project leaders as they determine which innovation projects are worth pursuing and an implementation methodology that promotes the discovery of knowable obstacles to success inherent within the organization. Our process integrates design, systems, and business thinking and uses the canvas methodology, a proven facilitation, collaboration, and teamwork approach, to help leaders discover, clarify and understand their innovation project in the context of their existing organization. Importantly, our work supports current and future engineering managers as they design, contribute to and lead innovation efforts within their organization.",
56,Service-Learning: An Opportunity for Experiential Learning in Project Management ,,,"Throughout an undergraduate program in engineering, there are multiple opportunities for hands on laboratory experiences that are related to course content.  However, a similar immersive experience for engineering management graduate students is harder to incorporate for all students in a course at once.  For example, team projects can be used, but only one student can be the leader at a time. A computer simulation can enable all students to be leaders of simulated teams, but the simulated experience may lack realism or completeness.  This paper explores an experiential learning opportunity for graduate students in engineering management or project management programs: leading a team of undergraduates through a project in a service-learning course.",
57,The Requirements for Engineering Management Education in the Turkish Environment ,,,"A central issue of engineering education is how to equip the young engineers for making rational commercial, social, and environmental judgments. The engineering professionals are expected to take on management responsibilities during their careers. The analytical abilities of engineers may be utilised to improve the quality of their judgements in non-technical matters. Engineering Management plays a significant role with management functions arrayed along a cognitive continuum between analysis and intuition. This requirement introduces a critical agenda for research and teaching in Engineering Management for improving the quality of management judgements at the intuitive end of the continuum. The growth of Engineering Management Programs attracts attention and interest to education and research directions in this field.             The purpose of this research is to study the requirements of Engineering Management Education. A survey is conducted to achieve the aims of the research. The findings of the study focus on the following issues:",
58,Application of Resilient Systems Thinking to Sustain a Lean Organizational Culture ,,,"Lean manufacturing systems have afforded organizations sizable gains in productivity, profitability, and overall performance. However, the resulting inter-industry diffusion of Lean has revealed obstacles to effective lean implementation.  The literature documents the unsatisfactory results of unsuccessful implementation attempts. The literature also links these unsatisfactory implementation results to suboptimal lean behaviors, poor lean leadership and culture, and to the nature and quality of continuous improvement training. In light of these challenges, this paper suggests a framework that promotes the development of a resilient continuous improvement culture by applying single to double-loop learning and the theory of conceptual change. This research identifies approaches for engineering managers to avoid lean culture problems by developing techniques to change the mentality of employees and, in turn, facilitate lean manufacturing success.",
59,Operational Adaptability: Conceptualization and Measures of the Construct ,,,"This investigation contributes a concept of operational adaptability and empirically tests a set of proposed measures of the construct. In general terms, operational adaptability is the ability to successfully respond to unforeseen changing situations during the operation of work units. The concept of operational adaptability was developed by using current literature and our experience as applied researchers. Seventy members of the military answered a survey of 10 questions that intent to measure the construct of operational adaptability. Principal component factor analysis and reliability analysis were conducted during a statistical construct validation process. The results confirm that the measures developed in the investigation are reliable and possess construct validity. The results of this investigation can be used as foundation for further research and development in the area of operational adaptability and operational uncertainty.",
60,Multinational Business Optimisation: A Systems Approach ,,,"Current developments in technology together with the global village concept have contributed to large international corporates becoming a reality. Total business optimisation requires the enablement of all business process. On a global optimisation view the two dimensions of delivery include shop floor to top floor and global, end to end perspectives.                 The current operations of individual production units, independent of global subsidiaries are a distinct challenge as independent operations divert the potential of global assets/ supply optimisation. Crucially is the fact that research, technology development, asset optimisations, planning, corporate (strategy, investment planning, and finance), supply chain and other function of large multinationals are usually centralised. These central functions operate independently with crucial dependencies on operational, site to global, information. The current practice of manual/paper base information is limited specifically to human dependencies such as, obtainability, accuracy, time, and interpretation. These key issues result in a multidimensional and multilayer challenge of total business optimization. Total business optimization must include, but not be limited to, production, supply chain, human resources, finance, Information management, plant control, research, technology development, together with sales and distribution. The additional complexity of multisite operations must also be included in order to achieve true global, end to end, optimization. There has been development in deployment of limited solutions but replication and accelerated delivery can only be addressed via a standardized approach. This research proposes a standardization, global system approach to this challenge from Enterprise Resource Planning through manufacturing systems down to instrumentation.",
61,Safety: Let's Start at the Beginning ,,,"When examining the life cycle of any given product, the consideration of workplace safety usually does not come into the picture until the production process. At this point in the products life cycle, workplace safety is managed as a compliance activity, and any accident that occurs will be managed with the goal of preservation and cost minimization.  This passive and reactionary approach to safety creates an oppositional relationship between the safety experts, production managers, and design and process engineers, where each have different, often incongruous goals and performance measures while dealing with the same processes. Safety, production, and engineering research exist in the same space, involve the same workers and production system. Engineers design and maintain products and processes and ties its outcomes to effective, efficient and safe production systems. Operations management improves workplace practices and ties its outcomes to cost, quality, delivery, and flexibility, but generally does not explicitly consider safety as an operating priority.  Safety research focus on improving workplace safety practices and ties its outcomes to preventing injury and illness, and minimizing their associated costs, but does not often make explicit linkages to operating and engineering priorities. Addressing the oppositional relationship between safety, engineers and production managers is crucial to successful workplace safety. One method to accomplish this is to ensure that safety, engineers and production managers have the same goals and performance measures. This paper presents a conceptual model to create common goals and performance measures by incorporating workplace safety into the entire product life cycle.",
62,Systemic Intervention for Complex System Governance,,,"The purpose of this paper is to explore the issues related to intervention in Complex System Governance (CSG).  Systems intervention seeks to intentionally engage a situation to influence trajectory or outcomes.  Complex System Governance is an emerging field focused on the design, execution, and evolution of the functions necessary to provide continued system performance (stability) in the midst of incessant turbulence and increasing complexity.   Integral to this field is the necessity to intervene in a complex system to address behavior or performance that is inconsistent with that which is desired.  Intervention is undertaken by internal as well as external agents as a key to modify complex systems.  Arguably, these interventions have an unremarkable record of success, ranging from touted success in improving a situation (system) to abysmal failure (doing more harm than good).  However, little emphasis has been placed on a more rigorous exploration of the nature of intervention as it influences our ability to more effectively enact change in complex systems.  To address this sparse accounting in the literature, following a brief introduction, this paper pursues three primary objectives.  First the nature of systemic intervention is examined.  Second, the different roles in systemic intervention for complex systems are explored.  Third, critical issues and considerations for more effective systemic intervention are suggested.  The paper concludes with directions for future development of systemic intervention for CSG as a critical competence for practitioners and an important capability for enterprises of the future.",
63,Character Development Strategy in the Department of Systems Engineering at the United States Military Academy ,,,"Included in the mission statement at the United States Military Academy (USMA) at West Point is the requirement to produce individuals who are certified in character (honor). Each department at USMA has an overarching responsibility to build character or facilitate character development. At USMA, we want each graduates character to be marked with the values of West Point and the Army ethic. Thus, each department must establish a thoughtful character development model that describes what actions are necessary and periodically assess the strategys effectiveness. Included in this model will be five character development activities that utilize the guidelines and character development model to integrate character development into existing activities. The purpose of this research is to develop and articulate the strategy and activities for the Department of Systems Engineering (DSE). Using the Stanford d School Design Thinking Methodology we define the problem using empathy, develop an unexpected range of possible solutions, and create rough prototypes that will be implemented with the DSE. With this methodology we move toward action, reflect on the process and run through the cycles bringing stronger insights and more unexpected solutions.",
64,University Technology Transfer Information Processing from the Attention Based View ,,,"Between 2005 and 2011, there was no substantial growth in licenses executed by university technology transfer offices.  Since the passage of the Bayh Dole Act of 1980, universities have owned technological inventions afforded by federal research funding.  There are still university technology transfer offices that struggle with increasing their licensing revenues.  There is a persistent underperformance by university technology transfer offices.  This paper makes the contribution of advocating the novel use of cognitive thinkings attention based view to university technology transfer in order to resolve this problem.   The attention based view teaches that human attention is limited and organizations are limited in what they pay attention to (Cyert, 1963; Ocasio, 1997).  It is argued herein that universities may struggle with increasing their licensing revenues because they are not paying sufficient attention to licensing.   Awareness of the problem is the first step in resolving it.  It is propositioned that university technology transfer office staff pay more attention to intellectual property protection than patent marketing or licensing and this result in lower licensing revenues and lower overall performance.  It is also propositioned that technology transfer offices with less experienced staff pay more attention to intellectual property protection than patent marketing and licensing.",
65,Virtue in the Engineering Profession  A paradigm shift in how we teach engineering ethics. ,,,"In engineering programs throughout the US, engineering ethics is taught in a variety of ways and methods.  One of the more robust methods to address engineering ethics is the classical case study approach.  Additionally, engineering ethics seems to focus less on actually internalizing ethical characteristics and more on what should the person have done versus what the person should be.  An engineer relying strictly on a set of codes and rules is not a good paradigm for creating ethical engineers.  A new approach to engineering ethics is proposed and opens the aperture on the current pedagogy and lays out a methodology radically different but more effective.  The concept of virtue is introduced early in the engineering students education.  Without a clear understanding of how one becomes virtuous, the ability for an engineer student to internalize ethical behavior is a frustrating and unrealistic endeavor.  The program is three fold.  The first phase is an introductory class developed specifically for engineering students which takes the student through understanding of virtue and ethics.  The mentor program lasts for several semesters and requires reflective sessions of certain concepts.  The desired goal is for the student to understand and embrace a virtue.  Without this internal desire the program for the student is not effective.  As the student progresses, the program of ethical case studies is introduced as a senior level course or seminar.  At this point student has greater understanding of the impact of ethical behavior in the engineering profession.  It has the added benefit",
66,A structured Review of Lean Supply Chain Management in Health Care ,,,"Lean supply chain management illustrates a new approach to supplier networks. Lean principles require long-term supplier relationships and a higher integrated supply chain management system. Improvement of supplier partnerships and long-term strategic alliances are two main success factors of a lean system. The healthcare industry is one of the most important service sectors; nevertheless, just a few studies have been conducted on lean supply chain in this industry. Improving the supply chain system by using lean principles causes higher quality in health care companies.   Lean consists of principles that drive health care companies to continually add value for the organization by improving processes. Although Lean has been applied in manufacturing more than 40 years, its principles are suited to help health care companies to improve systems by systematically addressing the quality, cost and safety. To become a lean health care organization, a company should plan to achieve long-term relationships with their suppliers. Supplier selection criteria will have a significant effect on increasing added value for lean systems. In this paper, by reviewing relevant literature, we compile a set of criteria which should be considered in lean supply chain network design in the health care industry. The results of this study will be beneficial for health care organizations to improve their supply chain management system.",
